ID	Accession	Type	Description
mir-2066	RF03635	Gene; miRNA;	mir-2066 microRNA precursor family
mir-2067	RF03177	Gene; miRNA;	mir-2067 microRNA precursor family
mir-2068	RF03776	Gene; miRNA;	mir-2068 microRNA precursor family
mir-207	RF00802	Gene; miRNA;	microRNA mir-207
mir-2070	RF03651	Gene; miRNA;	mir-2070 microRNA precursor family
mir-2071	RF03606	Gene; miRNA;	mir-2071 microRNA precursor family
mir-2072	RF04050	Gene; miRNA;	mir-2072 microRNA precursor family
mir-2076	RF04036	Gene; miRNA;	mir-2076 microRNA precursor family
mir-208	RF00749	Gene; miRNA;	microRNA mir-208
mir-21	RF00658	Gene; miRNA;	microRNA mir-21
mir-210	RF00679	Gene; miRNA;	microRNA mir-210
mir-2110	RF03774	Gene; miRNA;	mir-2110 microRNA precursor family
mir-2114	RF03249	Gene; miRNA;	mir-2114 microRNA precursor family
mir-2131	RF03443	Gene; miRNA;	mir-2131 microRNA precursor family
mir-214	RF00660	Gene; miRNA;	mir-214 microRNA precursor family
mir-2147	RF04045	Gene; miRNA;	mir-2147 microRNA precursor family
mir-2154	RF04046	Gene; miRNA;	mir-2154 microRNA precursor family
mir-216	RF00654	Gene; miRNA;	microRNA mir-216
mir-2160	RF03998	Gene; miRNA;	mir-2160 microRNA precursor family
mir-2162	RF03742	Gene; miRNA;	mir-2162 microRNA precursor family
mir-217	RF00673	Gene; miRNA;	microRNA mir-217
mir-218	RF00255	Gene; miRNA;	mir-218 microRNA precursor family
mir-2187	RF03272	Gene; miRNA;	mir-2187 microRNA precursor family
mir-2188	RF03255	Gene; miRNA;	mir-2188 microRNA precursor family
mir-219	RF00251	Gene; miRNA;	mir-219 microRNA precursor family
mir-22	RF00653	Gene; miRNA;	microRNA mir-22
mir-2208	RF03318	Gene; miRNA;	mir-2208 microRNA precursor family
mir-2209	RF03223	Gene; miRNA;	mir-2209 microRNA precursor family
mir-221	RF00651	Gene; miRNA;	microRNA mir-221
mir-2217	RF03369	Gene; miRNA;	mir-2217 microRNA precursor family
mir-2229	RF03827	Gene; miRNA;	mir-2229 microRNA precursor family
mir-223	RF00664	Gene; miRNA;	microRNA mir-223
mir-2232	RF03276	Gene; miRNA;	mir-2232 microRNA precursor family
mir-2237	RF03332	Gene; miRNA;	mir-2237 microRNA precursor family
mir-2238	RF01915	Gene; miRNA;	microRNA mir-2238
mir-224	RF00680	Gene; miRNA;	mir-224 microRNA precursor family
mir-2240	RF03784	Gene; miRNA;	mir-2240 microRNA precursor family
mir-2241	RF01899	Gene; miRNA;	mir-2241 microRNA precursor family
mir-2242	RF04039	Gene; miRNA;	mir-2242 microRNA precursor family
mir-2253	RF03706	Gene; miRNA;	mir-2253 microRNA precursor family
mir-2278	RF04166	Gene; miRNA;	mir-2278 microRNA precursor family
mir-228	RF00843	Gene; miRNA;	microRNA mir-228
mir-2290	RF03584	Gene; miRNA;	mir-2290 microRNA precursor family
mir-23	RF00642	Gene; miRNA;	microRNA mir-23
mir-230	RF00851	Gene; miRNA;	mir-230 precursor family
mir-2300	RF03658	Gene; miRNA;	mir-2300 microRNA precursor family
mir-231	RF00852	Gene; miRNA;	microRNA mir-231
mir-2318	RF03746	Gene; miRNA;	mir-2318 microRNA precursor family
mir-2319	RF03588	Gene; miRNA;	mir-2319 microRNA precursor family
mir-232	RF00856	Gene; miRNA;	microRNA mir-232
mir-2320	RF03738	Gene; miRNA;	mir-2320 microRNA precursor family
mir-2329	RF03652	Gene; miRNA;	mir-2329 microRNA precursor family
mir-233	RF00857	Gene; miRNA;	microRNA mir-233
mir-2331	RF03593	Gene; miRNA;	mir-2331 microRNA precursor family
mir-2335	RF03825	Gene; miRNA;	mir-2335 microRNA precursor family
mir-234	RF00859	Gene; miRNA;	microRNA mir-234
mir-235	RF00899	Gene; miRNA;	mir-235 microRNA precursor family
mir-2355	RF03628	Gene; miRNA;	mir-2355 microRNA precursor family
mir-2363	RF03729	Gene; miRNA;	mir-2363 microRNA precursor family
mir-2366	RF03488	Gene; miRNA;	mir-2366 microRNA precursor family
mir-237	RF03920	Gene; miRNA;	mir-237 microRNA precursor family
mir-238	RF03519	Gene; miRNA;	mir-238 microRNA precursor family
mir-2387	RF03475	Gene; miRNA;	mir-2387 microRNA precursor family
mir-239	RF00713	Gene; miRNA;	microRNA mir-239
mir-2392	RF03437	Gene; miRNA;	mir-2392 microRNA precursor family
mir-23c	RF03521	Gene; miRNA;	mir-23c microRNA precursor family
mir-24	RF00178	Gene; miRNA;	mir-24 microRNA precursor family
mir-240	RF00804	Gene; miRNA;	mir-240 microRNA precursor family
mir-241	RF00809	Gene; miRNA;	microRNA mir-241
mir-242	RF00898	Gene; miRNA;	microRNA mir-242
mir-2432	RF03656	Gene; miRNA;	mir-2432 microRNA precursor family
mir-244	RF00815	Gene; miRNA;	mir-244 microRNA precursor family
mir-245	RF00816	Gene; miRNA;	microRNA mir-245
mir-2450	RF03390	Gene; miRNA;	mir-2450 microRNA precursor family
mir-246	RF00819	Gene; miRNA;	microRNA mir-246
mir-247	RF03331	Gene; miRNA;	mir-247 microRNA precursor family
mir-248	RF00820	Gene; miRNA;	mir-248 microRNA precursor family
mir-2489	RF03750	Gene; miRNA;	mir-2489 microRNA precursor family
mir-249	RF00821	Gene; miRNA;	mir-249 microRNA precursor family
mir-2494	RF02518	Gene; miRNA;	mir-2494 microRNA precursor family
mir-25	RF02020	Gene; miRNA;	mir-25 microRNA precursor family
mir-250	RF00836	Gene; miRNA;	microRNA mir-250
mir-251	RF00837	Gene; miRNA;	microRNA mir-251 microRNA precursor family
mir-2511	RF03887	Gene; miRNA;	mir-2511 microRNA precursor family
mir-2513	RF04108	Gene; miRNA;	mir-2513 microRNA precursor family
mir-2518	RF01944	Gene; miRNA;	microRNA mir-2518
mir-252	RF00838	Gene; miRNA;	mir-252 microRNA precursor family
mir-2528	RF03227	Gene; miRNA;	mir-2528 microRNA precursor family
mir-253	RF01064	Gene; miRNA;	microRNA mir-253
mir-254	RF00855	Gene; miRNA;	mir-254 microRNA precursor family
mir-2542	RF03275	Gene; miRNA;	mir-2542 microRNA precursor family
mir-2543	RF03235	Gene; miRNA;	mir-2543 microRNA precursor family
mir-2545	RF03891	Gene; miRNA;	mir-2545 microRNA precursor family
mir-255	RF00900	Gene; miRNA;	microRNA mir-255
mir-2558	RF03421	Gene; miRNA;	mir-2558 microRNA precursor family
mir-2566	RF03370	Gene; miRNA;	mir-2566 microRNA precursor family
mir-2567	RF03592	Gene; miRNA;	mir-2567 microRNA precursor family
mir-2568	RF03763	Gene; miRNA;	mir-2568 microRNA precursor family
mir-2574	RF03394	Gene; miRNA;	mir-2574 microRNA precursor family
mir-2576	RF03433	Gene; miRNA;	mir-2576 microRNA precursor family
mir-2582	RF03220	Gene; miRNA;	mir-2582 microRNA precursor family
mir-259	RF00850	Gene; miRNA;	microRNA mir-259
mir-26	RF00244	Gene; miRNA;	mir-26 microRNA precursor family
mir-263	RF00706	Gene; miRNA;	mir-263 microRNA precursor family
mir-266	RF03694	Gene; miRNA;	mir-266 microRNA precursor family
mir-268	RF00834	Gene; miRNA;	microRNA mir-268
mir-2686	RF04031	Gene; miRNA;	mir-2686 microRNA precursor family
mir-27	RF00644	Gene; miRNA;	microRNA mir-27
mir-2731	RF03243	Gene; miRNA;	mir-2731 microRNA precursor family
mir-274	RF00822	Gene; miRNA;	microRNA mir-274
mir-275	RF00757	Gene; miRNA;	microRNA mir-275
mir-2755	RF03181	Gene; miRNA;	mir-2755 microRNA precursor family
mir-2756	RF03758	Gene; miRNA;	mir-2756 microRNA precursor family
mir-276	RF00637	Gene; miRNA;	microRNA mir-276
mir-2763	RF03225	Gene; miRNA;	mir-2763 microRNA precursor family
mir-2765	RF03691	Gene; miRNA;	mir-2765 microRNA precursor family
mir-2766	RF03970	Gene; miRNA;	mir-2766 microRNA precursor family
mir-2767	RF03669	Gene; miRNA;	mir-2767 microRNA precursor family
mir-277	RF00730	Gene; miRNA;	microRNA mir-277
mir-2772	RF03748	Gene; miRNA;	mir-2772 microRNA precursor family
mir-2774	RF01924	Gene; miRNA;	microRNA mir-2774
mir-2778	RF01913	Gene; miRNA;	microRNA mir-2778
mir-278	RF00729	Gene; miRNA;	microRNA mir-278
mir-2780	RF01937	Gene; miRNA;	microRNA mir-2780
mir-2788	RF03212	Gene; miRNA;	mir-2788 microRNA precursor family
mir-278_2	RF04186	Gene; miRNA;	mir-278_2 microRNA precursor family
mir-279	RF00754	Gene; miRNA;	mir-279 microRNA precursor family
mir-2796	RF03381	Gene; miRNA;	mir-2796 microRNA precursor family
mir-2797	RF03814	Gene; miRNA;	mir-2797 microRNA precursor family
mir-28	RF00655	Gene; miRNA;	microRNA mir-28
mir-280	RF00801	Gene; miRNA;	microRNA mir-280
mir-2807	RF01912	Gene; miRNA;	microRNA mir-2807
mir-281	RF00967	Gene; miRNA;	mir-281 microRNA precursor family
mir-2813	RF03234	Gene; miRNA;	mir-2813 microRNA precursor family
mir-2814	RF03396	Gene; miRNA;	mir-2814 microRNA precursor family
mir-2816	RF03347	Gene; miRNA;	mir-2816 microRNA precursor family
mir-2818	RF03630	Gene; miRNA;	mir-2818 microRNA precursor family
mir-282	RF00724	Gene; miRNA;	mir-282 microRNA precursor family
mir-2820	RF03333	Gene; miRNA;	mir-2820 microRNA precursor family
mir-2822	RF03673	Gene; miRNA;	mir-2822 microRNA precursor family
mir-283	RF00747	Gene; miRNA;	microRNA mir-283
mir-2830	RF03468	Gene; miRNA;	mir-2830 microRNA precursor family
mir-2831	RF03879	Gene; miRNA;	mir-2831 microRNA precursor family
mir-2833	RF02026	Gene; miRNA;	microRNA mir-2833
mir-2834	RF03869	Gene; miRNA;	mir-2834 microRNA precursor family
mir-284	RF01901	Gene; miRNA;	mir-284 microRNA precursor family
mir-2843	RF03188	Gene; miRNA;	mir-2843 microRNA precursor family
mir-2849	RF03393	Gene; miRNA;	mir-2849 microRNA precursor family
mir-2851	RF03467	Gene; miRNA;	mir-2851 microRNA precursor family
mir-2856	RF03411	Gene; miRNA;	mir-2856 microRNA precursor family
mir-286	RF00789	Gene; miRNA;	microRNA mir-286
mir-2861	RF03698	Gene; miRNA;	mir-2861 microRNA precursor family
mir-287	RF00788	Gene; miRNA;	microRNA mir-287
mir-288	RF00787	Gene; miRNA;	mir-288 microRNA precursor family
mir-289	RF00786	Gene; miRNA;	mir-289 microRNA precursor family
mir-29	RF00074	Gene; miRNA;	mir-29 microRNA precursor
mir-290	RF00665	Gene; miRNA;	mir-290 microRNA precursor family
mir-2941	RF03193	Gene; miRNA;	mir-2941 microRNA precursor family
mir-2943	RF03266	Gene; miRNA;	mir-2943 microRNA precursor family
mir-2944	RF04054	Gene; miRNA;	mir-2944 microRNA precursor family
mir-2954	RF03446	Gene; miRNA;	mir-2954 microRNA precursor family
mir-296	RF00733	Gene; miRNA;	microRNA mir-296
mir-2968	RF02093	Gene; miRNA;	mir-2968 microRNA precursor
mir-297	RF04217	Gene; miRNA;	mir-297 microRNA precursor family
mir-2970	RF02092	Gene; miRNA;	mir-2970 microRNA precursor
mir-298	RF00773	Gene; miRNA;	microRNA mir-298
mir-2985	RF02095	Gene; miRNA;	mir-2985-2 microRNA precursor
mir-299	RF00756	Gene; miRNA;	microRNA mir-299
mir-2996	RF03963	Gene; miRNA;	mir-2996 microRNA precursor family
mir-2_2	RF03555	Gene; miRNA;	mir-2_2 microRNA precursor family
mir-3	RF00716	Gene; miRNA;	microRNA mir-3
mir-30	RF00131	Gene; miRNA;	mir-30 microRNA precursor
mir-3003	RF04010	Gene; miRNA;	mir-3003 microRNA precursor family
mir-301	RF02061	Gene; miRNA;	microRNA mir-301
mir-3012	RF03996	Gene; miRNA;	mir-3012 microRNA precursor family
mir-3015	RF03218	Gene; miRNA;	mir-3015 microRNA precursor family
mir-3017	RF02025	Gene; miRNA;	microRNA mir-3017
mir-302	RF00668	Gene; miRNA;	microRNA mir-302
mir-302_2	RF03548	Gene; miRNA;	mir-302_2 microRNA precursor family
mir-303	RF03959	Gene; miRNA;	mir-303 microRNA precursor family
mir-3036	RF03463	Gene; miRNA;	mir-3036 microRNA precursor family
mir-304	RF00853	Gene; miRNA;	microRNA mir-304
mir-3045	RF03688	Gene; miRNA;	mir-3045 microRNA precursor family
mir-3047	RF03339	Gene; miRNA;	mir-3047 microRNA precursor family
mir-305	RF00732	Gene; miRNA;	microRNA mir-305
mir-3051	RF03815	Gene; miRNA;	mir-3051 microRNA precursor family
mir-3059	RF03520	Gene; miRNA;	mir-3059 microRNA precursor family
mir-306	RF00858	Gene; miRNA;	microRNA mir-306
mir-3064	RF03840	Gene; miRNA;	mir-3064 microRNA precursor family
mir-3070	RF03203	Gene; miRNA;	mir-3070 microRNA precursor family
mir-3072	RF03527	Gene; miRNA;	mir-3072 microRNA precursor family
mir-3075	RF03376	Gene; miRNA;	mir-3075 microRNA precursor family
mir-308	RF00743	Gene; miRNA;	mir-308 microRNA precursor family
mir-3085	RF03288	Gene; miRNA;	mir-3085 microRNA precursor family
mir-3099	RF03406	Gene; miRNA;	mir-3099 microRNA precursor family
mir-31	RF00661	Gene; miRNA;	mir-31 microRNA precursor family
mir-3102	RF03206	Gene; miRNA;	mir-3102 microRNA precursor family
mir-3116	RF03754	Gene; miRNA;	mir-3116 microRNA precursor family
mir-3117	RF03591	Gene; miRNA;	mir-3117 microRNA precursor family
mir-3118	RF04140	Gene; miRNA;	mir-3118 microRNA precursor family
mir-3119	RF03717	Gene; miRNA;	mir-3119 microRNA precursor family
mir-312	RF03326	Gene; miRNA;	mir-312 microRNA precursor family
mir-3122	RF03366	Gene; miRNA;	mir-3122 microRNA precursor family
mir-3126	RF03180	Gene; miRNA;	mir-3126 microRNA precursor family
mir-3127	RF04123	Gene; miRNA;	mir-3127 microRNA precursor family
mir-3129	RF03857	Gene; miRNA;	mir-3129 microRNA precursor family
mir-3130	RF03736	Gene; miRNA;	mir-3130 microRNA precursor family
mir-3132	RF03946	Gene; miRNA;	mir-3132 microRNA precursor family
mir-3136	RF03361	Gene; miRNA;	mir-3136 microRNA precursor family
mir-3138	RF03837	Gene; miRNA;	mir-3138 microRNA precursor family
mir-314	RF00807	Gene; miRNA;	microRNA mir-314
mir-3140	RF03501	Gene; miRNA;	mir-3140 microRNA precursor family
mir-3145	RF03498	Gene; miRNA;	mir-3145 microRNA precursor family
mir-3146	RF03491	Gene; miRNA;	mir-3146 microRNA precursor family
mir-3149	RF04176	Gene; miRNA;	mir-3149 microRNA precursor family
mir-315	RF00717	Gene; miRNA;	microRNA mir-315
mir-3150	RF03972	Gene; miRNA;	mir-3150 microRNA precursor family
mir-3151	RF03349	Gene; miRNA;	mir-3151 microRNA precursor family
mir-3154	RF03301	Gene; miRNA;	mir-3154 microRNA precursor family
mir-3155	RF03766	Gene; miRNA;	mir-3155 microRNA precursor family
mir-3156	RF03360	Gene; miRNA;	mir-3156 microRNA precursor family
mir-3158	RF03941	Gene; miRNA;	mir-3158 microRNA precursor family
mir-316	RF00814	Gene; miRNA;	microRNA mir-316
mir-3160	RF03888	Gene; miRNA;	mir-3160 microRNA precursor family
mir-3165	RF04105	Gene; miRNA;	mir-3165 microRNA precursor family
mir-3167	RF03217	Gene; miRNA;	mir-3167 microRNA precursor family
mir-317	RF00720	Gene; miRNA;	microRNA mir-317
mir-3170	RF03373	Gene; miRNA;	mir-3170 microRNA precursor family
mir-3173	RF03834	Gene; miRNA;	mir-3173 microRNA precursor family
mir-3174	RF03524	Gene; miRNA;	mir-3174 microRNA precursor family
mir-3179	RF02021	Gene; miRNA;	microRNA mir-3179
mir-318	RF00818	Gene; miRNA;	microRNA mir-318
mir-3180	RF02010	Gene; miRNA;	microRNA mir-3180
mir-3190	RF03844	Gene; miRNA;	mir-3190 microRNA precursor family
mir-3192	RF03873	Gene; miRNA;	mir-3192 microRNA precursor family
mir-3193	RF03185	Gene; miRNA;	mir-3193 microRNA precursor family
mir-3198	RF03418	Gene; miRNA;	mir-3198 microRNA precursor family
mir-3199	RF03906	Gene; miRNA;	mir-3199 microRNA precursor family
mir-31_2	RF03550	Gene; miRNA;	mir-31_2 microRNA precursor family
mir-32	RF00666	Gene; miRNA;	mir-32 microRNA precursor family
mir-320	RF00736	Gene; miRNA;	mir-320 microRNA precursor family
mir-3200	RF03405	Gene; miRNA;	mir-3200 microRNA precursor family
mir-3202	RF03799	Gene; miRNA;	mir-3202 microRNA precursor family
mir-3204	RF03568	Gene; miRNA;	mir-3204 microRNA precursor family
mir-322	RF00737	Gene; miRNA;	microRNA mir-322
mir-324	RF03479	Gene; miRNA;	mir-324 microRNA precursor family
mir-325	RF03741	Gene; miRNA;	mir-325 microRNA precursor family
mir-326	RF00719	Gene; miRNA;	microRNA mir-326
mir-327	RF00940	Gene; miRNA;	microRNA mir-327
mir-328	RF00772	Gene; miRNA;	microRNA mir-328
mir-33	RF00667	Gene; miRNA;	microRNA mir-33
mir-330	RF00770	Gene; miRNA;	microRNA mir-330
mir-331	RF00769	Gene; miRNA;	microRNA mir-331
mir-3327	RF03845	Gene; miRNA;	mir-3327 microRNA precursor family
mir-3338	RF03305	Gene; miRNA;	mir-3338 microRNA precursor family
mir-3347	RF03343	Gene; miRNA;	mir-3347 microRNA precursor family
mir-335	RF00766	Gene; miRNA;	microRNA mir-335
mir-337	RF00765	Gene; miRNA;	mir-337 microRNA precursor family
mir-338	RF00686	Gene; miRNA;	microRNA mir-338
mir-3389	RF03780	Gene; miRNA;	mir-3389 microRNA precursor family
mir-339	RF00763	Gene; miRNA;	microRNA mir-339
mir-34	RF00456	Gene; miRNA;	mir-34 microRNA precursor family
mir-340	RF00761	Gene; miRNA;	microRNA mir-340
mir-341	RF03771	Gene; miRNA;	mir-341 microRNA precursor family
mir-342	RF00760	Gene; miRNA;	mir-342 microRNA precursor family
mir-343	RF03417	Gene; miRNA;	mir-343 microRNA precursor family
mir-3431	RF03614	Gene; miRNA;	mir-3431 microRNA precursor family
mir-3432	RF03767	Gene; miRNA;	mir-3432 microRNA precursor family
mir-344	RF00825	Gene; miRNA;	mir-344 microRNA precursor family
mir-345	RF01044	Gene; miRNA;	microRNA mir-345
mir-346	RF00758	Gene; miRNA;	mir-346 microRNA precursor family
mir-3473	RF04204	Gene; miRNA;	mir-3473 microRNA precursor family
mir-3477	RF03727	Gene; miRNA;	mir-3477 microRNA precursor family
mir-3478	RF03721	Gene; miRNA;	mir-3478 microRNA precursor family
mir-3479	RF03512	Gene; miRNA;	mir-3479 microRNA precursor family
mir-3492	RF04021	Gene; miRNA;	mir-3492 microRNA precursor family
mir-35	RF02254	Gene; miRNA;	microRNA mir-35
mir-350	RF00806	Gene; miRNA;	microRNA mir-350
mir-351	RF00805	Gene; miRNA;	microRNA mir-351
mir-3524	RF03634	Gene; miRNA;	mir-3524 microRNA precursor family
mir-3533	RF03561	Gene; miRNA;	mir-3533 microRNA precursor family
mir-354	RF00799	Gene; miRNA;	mir-354 microRNA precursor family
mir-3547	RF03836	Gene; miRNA;	mir-3547 microRNA precursor family
mir-355	RF00797	Gene; miRNA;	microRNA mir-355
mir-3552	RF03398	Gene; miRNA;	mir-3552 microRNA precursor family
mir-3569	RF03595	Gene; miRNA;	mir-3569 microRNA precursor family
mir-357	RF00791	Gene; miRNA;	microRNA mir-357
mir-3572	RF03971	Gene; miRNA;	mir-3572 microRNA precursor family
mir-358	RF00790	Gene; miRNA;	mir-358 microRNA precursor family
mir-359	RF00903	Gene; miRNA;	mir-359 microRNA precursor family
mir-36	RF00685	Gene; miRNA;	microRNA mir-36
mir-360	RF00774	Gene; miRNA;	microRNA mir-360
mir-361	RF00744	Gene; miRNA;	microRNA mir-361
mir-3613	RF03323	Gene; miRNA;	mir-3613 microRNA precursor family
mir-3617	RF03300	Gene; miRNA;	mir-3617 microRNA precursor family
mir-3618	RF04152	Gene; miRNA;	mir-3618 microRNA precursor family
mir-3622	RF03703	Gene; miRNA;	mir-3622 microRNA precursor family
mir-363	RF01898	Gene; miRNA;	microRNA mir-363
mir-365	RF00659	Gene; miRNA;	microRNA mir-365
mir-3660	RF03510	Gene; miRNA;	mir-3660 microRNA precursor family
mir-3661	RF03782	Gene; miRNA;	mir-3661 microRNA precursor family
mir-367	RF00735	Gene; miRNA;	microRNA mir-367
mir-3688	RF04161	Gene; miRNA;	mir-3688 microRNA precursor family
mir-370	RF00740	Gene; miRNA;	mir-370 microRNA precursor family
mir-3718	RF03952	Gene; miRNA;	mir-3718 microRNA precursor family
mir-373	RF04269	Gene; miRNA;	mir-373 microRNA precursor family
mir-374	RF00840	Gene; miRNA;	microRNA mir-374
mir-3747	RF03640	Gene; miRNA;	mir-3747 microRNA precursor family
mir-375	RF00700	Gene; miRNA;	microRNA mir-375
mir-378	RF00741	Gene; miRNA;	microRNA mir-378
mir-3804	RF03909	Gene; miRNA;	mir-3804 microRNA precursor family
mir-3817	RF03594	Gene; miRNA;	mir-3817 microRNA precursor family
mir-383	RF00715	Gene; miRNA;	microRNA mir-383
mir-3836	RF03817	Gene; miRNA;	mir-3836 microRNA precursor family
mir-384	RF00841	Gene; miRNA;	mir-384 microRNA precursor family
mir-3851	RF03350	Gene; miRNA;	mir-3851 microRNA precursor family
mir-3910	RF03578	Gene; miRNA;	mir-3910 microRNA precursor family
mir-3912	RF03682	Gene; miRNA;	mir-3912 microRNA precursor family
mir-3913	RF03769	Gene; miRNA;	mir-3913 microRNA precursor family
mir-3914	RF03719	Gene; miRNA;	mir-3914 microRNA precursor family
mir-392	RF00904	Gene; miRNA;	microRNA mir-392
mir-3923	RF03306	Gene; miRNA;	mir-3923 microRNA precursor family
mir-3926	RF03560	Gene; miRNA;	mir-3926 microRNA precursor family
mir-3927	RF04068	Gene; miRNA;	mir-3927 microRNA precursor family
mir-393	RF02516	Gene; miRNA;	mir-393 microRNA precursor family
mir-3931	RF03822	Gene; miRNA;	mir-3931 microRNA precursor family
mir-3934	RF03195	Gene; miRNA;	mir-3934 microRNA precursor family
mir-3937	RF03877	Gene; miRNA;	mir-3937 microRNA precursor family
mir-3938	RF03585	Gene; miRNA;	mir-3938 microRNA precursor family
mir-3940	RF03486	Gene; miRNA;	mir-3940 microRNA precursor family
mir-3943	RF03392	Gene; miRNA;	mir-3943 microRNA precursor family
mir-395	RF00451	Gene; miRNA;	mir-395 microRNA precursor family
mir-3956	RF03678	Gene; miRNA;	mir-3956 microRNA precursor family
mir-3957	RF03808	Gene; miRNA;	mir-3957 microRNA precursor family
mir-3960	RF03207	Gene; miRNA;	mir-3960 microRNA precursor family
mir-399	RF00445	Gene; miRNA;	mir-399 microRNA precursor family
mir-4	RF03258	Gene; miRNA;	mir-4 microRNA precursor family
mir-4003	RF03442	Gene; miRNA;	mir-4003 microRNA precursor family
mir-4005	RF03755	Gene; miRNA;	mir-4005 microRNA precursor family
mir-4018	RF03660	Gene; miRNA;	mir-4018 microRNA precursor family
mir-4041	RF03701	Gene; miRNA;	mir-4041 microRNA precursor family
mir-4077	RF03897	Gene; miRNA;	mir-4077 microRNA precursor family
mir-4079	RF03936	Gene; miRNA;	mir-4079 microRNA precursor family
mir-4081	RF03867	Gene; miRNA;	mir-4081 microRNA precursor family
mir-412	RF00762	Gene; miRNA;	mir-412 microRNA precursor family
mir-4178	RF03885	Gene; miRNA;	mir-4178 microRNA precursor family
mir-42	RF00794	Gene; miRNA;	microRNA mir-42
mir-422	RF01030	Gene; miRNA;	microRNA mir-422
mir-423	RF00870	Gene; miRNA;	microRNA mir-423
mir-425	RF00803	Gene; miRNA;	microRNA mir-425
mir-427	RF03364	Gene; miRNA;	mir-427 microRNA precursor family
mir-43	RF00795	Gene; miRNA;	microRNA mir-43
miR-430	RF01413	Gene; miRNA;	miR-430 microRNA precursor family
mir-431	RF00718	Gene; miRNA;	mir-431 microRNA precursor family
mir-432	RF00775	Gene; miRNA;	mir-432 microRNA precursor family
mir-433	RF00748	Gene; miRNA;	mir-433 microRNA precursor family
mir-434	RF00941	Gene; miRNA;	microRNA mir-434
mir-43_2	RF03552	Gene; miRNA;	mir-43_2 microRNA precursor family
mir-44	RF00710	Gene; miRNA;	microRNA mir-44
